feature,gain,split
open,493.3356332927942,75.8
high,263.06801186800004,40.9
low,292.12768642902375,44.7
close,258.26101957559587,39.4
volume,1176.0589159607887,163.5
funding_rate,870.2933982610703,128.1
log_return,1379.7544005870818,121.8
close_open_range,722.0112928032875,51.8
high_low_range,896.3792661949992,126.2
vwap,215.07137923240663,33.3
vwap_distance,912.1174881383777,139.4
rolling_return_1,25.792124915122987,2.7
realized_volatility_1,620.7588316559792,92.1
parkinson_volatility_1,408.6518205434084,56.5
rolling_return_3,1574.5633704117731,194.4
rolling_volatility_3,770.6133017063141,115.7
realized_volatility_3,802.1692559957504,119.5
parkinson_volatility_3,658.7188118636608,98.1
rolling_return_5,1178.7362899839877,170.3
rolling_volatility_5,693.9057312905788,100.6
realized_volatility_5,524.8046728134156,77.3
parkinson_volatility_5,545.8546250402927,79.7
rolling_return_15,917.47915558815,141.9
rolling_volatility_15,613.9007526636124,89.5
realized_volatility_15,546.7749595403671,78.7
parkinson_volatility_15,588.2251543998718,85.6
rolling_return_30,882.7752483010293,133.6
rolling_volatility_30,414.1365000367165,61.8
realized_volatility_30,410.21479671001435,60.4
parkinson_volatility_30,660.6015552163124,96.9
rolling_return_60,834.4602347612381,120.3
rolling_volatility_60,469.90339241027834,69.7
realized_volatility_60,362.91137902736665,54.2
parkinson_volatility_60,546.895795083046,81.7
funding_change,526.6704393148423,79.5
funding_zscore,1171.347769790888,180.8
realized_vol_percentile,867.204048460722,133.8
rolling_entropy,921.1852248847484,142.1
hurst_exponent,1174.497235250473,176.9
trend_strength,850.1228397786617,129.0
session_asia,58.8516211271286,9.6
session_europe,137.83326791524888,18.5
session_us,39.004228794574736,5.6
