prediction_timestamp,model_input_timestamp,target_timestamp,predicted_direction,prob_up,prob_down,start_close,actual_close_15m,actual_return_15m,actual_direction_15m,prediction_correct,evaluated_at
2026-05-15T20:45:00+00:00,2026-05-15T20:30:00+00:00,2026-05-15T20:45:00+00:00,DOWN,0.4869978577490781,0.5130021422509219,79046.0,79083.0,0.0004679723602280018,UP,False,2026-05-15T21:00:16.417816+00:00
2026-05-15T21:00:00+00:00,2026-05-15T20:45:00+00:00,2026-05-15T21:00:00+00:00,DOWN,0.4749505238211158,0.5250494761788842,79083.0,79143.0,0.0007584088945675728,UP,False,2026-05-15T21:15:12.981235+00:00
2026-05-15T21:00:00+00:00,2026-05-15T20:45:00+00:00,2026-05-15T21:00:00+00:00,DOWN,0.4749505238211158,0.5250494761788842,79083.0,79143.0,0.0007584088945675728,UP,False,2026-05-15T21:15:12.981742+00:00
2026-05-15T21:00:00+00:00,2026-05-15T20:45:00+00:00,2026-05-15T21:00:00+00:00,DOWN,0.4749505238211158,0.5250494761788842,79083.0,79143.0,0.0007584088945675728,UP,False,2026-05-15T21:15:12.982188+00:00
2026-05-15T21:15:00+00:00,2026-05-15T21:00:00+00:00,2026-05-15T21:15:00+00:00,DOWN,0.4717037969271987,0.5282962030728013,79143.0,79095.0,-0.0006066810939502722,DOWN,True,2026-05-15T21:30:14.210985+00:00
2026-05-15T21:30:00+00:00,2026-05-15T21:15:00+00:00,2026-05-15T21:30:00+00:00,DOWN,0.4631902077761578,0.5368097922238422,79095.0,79087.0,-0.00010114930911000772,DOWN,True,2026-05-15T21:45:12.061076+00:00
2026-05-15T21:45:00+00:00,2026-05-15T21:30:00+00:00,2026-05-15T21:45:00+00:00,DOWN,0.4510707991182123,0.5489292008817876,79087.0,78935.0,-0.0019237833577425644,DOWN,True,2026-05-15T22:00:15.516763+00:00
2026-05-15T22:00:00+00:00,2026-05-15T21:45:00+00:00,2026-05-15T22:00:00+00:00,DOWN,0.4969092523290455,0.5030907476709545,78935.0,79023.0,0.0011142203510330394,UP,False,2026-05-15T22:15:12.014484+00:00
2026-05-15T22:15:00+00:00,2026-05-15T22:00:00+00:00,2026-05-15T22:15:00+00:00,DOWN,0.4848238830427238,0.5151761169572762,79023.0,79048.0,0.0003163135579385077,UP,False,2026-05-15T22:30:13.321092+00:00
2026-05-15T22:30:00+00:00,2026-05-15T22:15:00+00:00,2026-05-15T22:30:00+00:00,DOWN,0.4792897951779763,0.5207102048220237,79048.0,79083.0,0.0004426709572638393,UP,False,2026-05-15T22:45:15.212442+00:00
2026-05-15T22:45:00+00:00,2026-05-15T22:30:00+00:00,2026-05-15T22:45:00+00:00,DOWN,0.4611638555903927,0.5388361444096073,79083.0,79070.0,-0.00016439776708979204,DOWN,True,2026-05-15T23:00:12.384951+00:00
2026-05-15T23:00:00+00:00,2026-05-15T22:45:00+00:00,2026-05-15T23:00:00+00:00,DOWN,0.446636318568282,0.553363681431718,79070.0,79078.0,0.00010117105504741224,UP,False,2026-05-15T23:15:13.306510+00:00
2026-05-15T23:15:00+00:00,2026-05-15T23:00:00+00:00,2026-05-15T23:15:00+00:00,DOWN,0.4387776843969246,0.5612223156030753,79078.0,79075.0,-3.793794617055733e-05,DOWN,True,2026-05-15T23:30:12.619077+00:00
2026-05-15T23:30:00+00:00,2026-05-15T23:15:00+00:00,2026-05-15T23:30:00+00:00,DOWN,0.4294574025761232,0.5705425974238767,79075.0,79085.0,0.00012645422373955083,UP,False,2026-05-15T23:45:12.045605+00:00
2026-05-15T23:45:00+00:00,2026-05-15T23:30:00+00:00,2026-05-15T23:45:00+00:00,DOWN,0.4205202214623749,0.5794797785376251,79085.0,79069.0,-0.0002023344342170476,DOWN,True,2026-05-16T00:00:15.331733+00:00
2026-05-16T00:00:00+00:00,2026-05-15T23:45:00+00:00,2026-05-16T00:00:00+00:00,DOWN,0.4069334215463162,0.5930665784536838,79069.0,79136.0,0.0008470023577705983,UP,False,2026-05-16T00:15:12.947819+00:00
2026-05-16T00:15:00+00:00,2026-05-16T00:00:00+00:00,2026-05-16T00:15:00+00:00,DOWN,0.4385264015766555,0.5614735984233445,79136.0,79132.0,-5.054717316015894e-05,DOWN,True,2026-05-16T00:30:12.473652+00:00
