prediction_timestamp,target_timestamp,predicted_direction,prob_up,prob_down,start_close,actual_close_15m,actual_return_15m,actual_direction_15m,prediction_correct,evaluated_at,model_input_timestamp
2026-05-12T20:15:00+00:00,2026-05-12T20:30:00+00:00,DOWN,0.3745277186678098,0.6254722813321902,80778.0,80673.0,-0.0013007044218187843,DOWN,True,2026-05-12T20:49:06.646220+00:00,
2026-05-12T20:15:00+00:00,2026-05-12T20:30:00+00:00,DOWN,0.3745277186678098,0.6254722813321902,80778.0,80673.0,-0.0013007044218187843,DOWN,True,2026-05-12T20:49:06.646458+00:00,
2026-05-12T20:15:00+00:00,2026-05-12T20:30:00+00:00,DOWN,0.3745277186678098,0.6254722813321902,80778.0,80673.0,-0.0013007044218187843,DOWN,True,2026-05-12T20:49:06.646596+00:00,
2026-05-12T20:15:00+00:00,2026-05-12T20:30:00+00:00,DOWN,0.3745277186678098,0.6254722813321902,80778.0,80673.0,-0.0013007044218187843,DOWN,True,2026-05-12T20:49:06.646720+00:00,
2026-05-12T20:30:00+00:00,2026-05-12T20:45:00+00:00,DOWN,0.350386083439326,0.649613916560674,80673.0,80660.0,-0.0001611573581119173,DOWN,True,2026-05-12T21:00:11.340821+00:00,
2026-05-12T20:45:00+00:00,2026-05-12T21:00:00+00:00,DOWN,0.3545780138687753,0.6454219861312247,80660.0,80698.0,0.00047100237611405476,UP,False,2026-05-12T21:30:11.540989+00:00,
2026-05-12T21:15:00+00:00,2026-05-12T21:30:00+00:00,DOWN,0.3588134240946532,0.6411865759053468,80628.0,80562.0,-0.0008189094073871205,DOWN,True,2026-05-13T03:49:45.007344+00:00,
2026-05-13T03:30:00+00:00,2026-05-13T03:45:00+00:00,DOWN,0.4187563958144871,0.5812436041855129,81173.0,81223.0,0.0006157787332192535,UP,False,2026-05-13T04:00:11.965550+00:00,
2026-05-13T03:45:00+00:00,2026-05-13T04:00:00+00:00,DOWN,0.4080466083117112,0.5919533916882889,81223.0,81154.0,-0.0008498741096724914,DOWN,True,2026-05-13T04:15:11.622134+00:00,
2026-05-13T04:00:00+00:00,2026-05-13T04:00:00+00:00,DOWN,0.4080466083117112,0.5919533916882889,81223.0,81154.0,-0.0008498741096724914,DOWN,True,2026-05-13T04:15:11.622325+00:00,2026-05-13T03:45:00+00:00
2026-05-13T04:15:00+00:00,2026-05-13T04:15:00+00:00,DOWN,0.3863342457585715,0.6136657542414286,81154.0,81186.0,0.0003942343281317789,UP,False,2026-05-13T04:30:12.506622+00:00,2026-05-13T04:00:00+00:00
2026-05-13T04:15:00+00:00,2026-05-13T04:15:00+00:00,DOWN,0.3863342457585715,0.6136657542414286,81154.0,81186.0,0.0003942343281317789,UP,False,2026-05-13T04:30:12.506856+00:00,2026-05-13T04:15:00+00:00
