fold,rows,accuracy,precision,recall,f1,mcc,balanced_accuracy,roc_auc,log_loss
0,9316,0.5939244310863031,0.5777777777777777,0.6977243452125376,0.6321112515802781,0.19203251377871985,0.5939244310863031,0.6263439437886333,0.6700135246045856
1,9338,0.5908117369886485,0.5774570697844356,0.6770186335403726,0.6232869959578035,0.1843847067167317,0.5908117369886485,0.6287069955216071,0.6689348585686617
2,9702,0.5998763141620285,0.5858281665190433,0.6817151102865389,0.6301448170731707,0.20248334190752207,0.5998763141620285,0.6392646399714161,0.6619663944228892
3,9328,0.6073113207547169,0.5933942899794737,0.6818181818181818,0.634540556719545,0.2170459315254787,0.6073113207547169,0.6364683350667424,0.6640463028645177
4,9468,0.5658005914659907,0.577391304347826,0.4909167722855936,0.5306541842676105,0.1331024155506787,0.5658005914659907,0.5922815812193039,0.6909176192147983
5,9866,0.5785526049057369,0.5567765567765568,0.7703223190756132,0.6463684300051029,0.17011482572319483,0.5785526049057369,0.6035867652696549,0.6888900128154488
6,10358,0.6185557057346979,0.6030547163477677,0.6937632747634679,0.6452365987249709,0.23984009035857312,0.6185557057346978,0.6676112380858712,0.6525064702402473
7,10550,0.5800947867298578,0.5661085902049757,0.6858767772511848,0.6202640150865764,0.16389957974339006,0.5800947867298578,0.6117264032703668,0.6733774340623373
8,10082,0.6263638167030351,0.6127832861189801,0.6865701249752033,0.647581625970624,0.2545799750504713,0.6263638167030351,0.6765013302347058,0.6488574757707077
9,10450,0.5904306220095694,0.5765430098817431,0.6811483253588517,0.6244955255307949,0.18391368442632142,0.5904306220095694,0.6273437696023443,0.6698361694916927
10,10458,0.5745840504876649,0.5618458610846813,0.6775674125071716,0.6143042912873862,0.15243649242411775,0.5745840504876649,0.6044570782835373,0.6759267977613588
11,10084,0.5768544228480762,0.561400728886072,0.7026973423244744,0.6241522064652515,0.1588214694243896,0.5768544228480762,0.6096649705346961,0.6759026969491713
12,9402,0.5862582429270368,0.5716051562775913,0.6885768985322271,0.6246622925511386,0.17624623196680314,0.5862582429270368,0.6208236820536448,0.673616041059629
13,8682,0.6018198571757659,0.5887906789875452,0.6751900483759502,0.6290374503702114,0.2058682296597897,0.6018198571757659,0.643571649138537,0.6608247336244397
14,8664,0.5911819021237303,0.594588122605364,0.5731763619575254,0.5836859426422191,0.18248216387610172,0.5911819021237303,0.6271690564921317,0.6874923977351768
15,8860,0.6040632054176073,0.587310606060606,0.7,0.6387229660144181,0.2120666844472423,0.6040632054176072,0.6395022395018574,0.6758470423968143
16,9098,0.6111233238074302,0.5967093935335757,0.6856451967465377,0.6380932896890343,0.22475704827177356,0.6111233238074302,0.6562964927804762,0.6538277893117964
